name,description,media,attributes[Take Prompt],attributes[Scene Prompt],attributes[Image Prompt]
"test (#3/3)"," A picture of an old-fashioned school test paper with a smiley face in the corner, or a picture of a person with a look of disbelief, or a person holding their head in exasperation, with a handwritten ""Test"" written in the background.","3_2_img-QLjTPWZyZIy3sQgntSFa5uDX.png","test"," A picture of an old-fashioned school test paper with a smiley face in the corner, or a picture of a person with a look of disbelief, or a person holding their head in exasperation, with a handwritten ""Test"" written in the background.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Person holding head in exasperation, handwritten ""Test"" in background, old-fashioned school test paper with smiley face in corner, —v 3"
"test (#3/4)"," A picture of an old-fashioned school test paper with a smiley face in the corner, or a picture of a person with a look of disbelief, or a person holding their head in exasperation, with a handwritten ""Test"" written in the background.","3_3_img-uDDETI7ODWgiPh2H4zjJ5yTW.png","test"," A picture of an old-fashioned school test paper with a smiley face in the corner, or a picture of a person with a look of disbelief, or a person holding their head in exasperation, with a handwritten ""Test"" written in the background.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Person holding head in exasperation, handwritten ""Test"" in background, old-fashioned school test paper with smiley face in corner, —v 3"
"test (#4/1)","
A low-fidelity image-based meme inspired by the text-based meme “test” could be an image of a dog sitting in front of a laptop, with a test tube filled with bubbling blue liquid in front of it. The dog has a perplexed expression on its face as if it doesn't understand what the text means.","4_0_img-jYNPv3Zv0tIx3u8ATJztFNNL.png","test","
A low-fidelity image-based meme inspired by the text-based meme “test” could be an image of a dog sitting in front of a laptop, with a test tube filled with bubbling blue liquid in front of it. The dog has a perplexed expression on its face as if it doesn't understand what the text means.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Dog, sitting in front of laptop, holding test tube filled with bubbling blue liquid, perplexed expression, —v 3"
"test (#4/2)","
A low-fidelity image-based meme inspired by the text-based meme “test” could be an image of a dog sitting in front of a laptop, with a test tube filled with bubbling blue liquid in front of it. The dog has a perplexed expression on its face as if it doesn't understand what the text means.","4_1_img-YflKw5Vm9dNXJrw4kA8u6Awk.png","test","
A low-fidelity image-based meme inspired by the text-based meme “test” could be an image of a dog sitting in front of a laptop, with a test tube filled with bubbling blue liquid in front of it. The dog has a perplexed expression on its face as if it doesn't understand what the text means.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Dog, sitting in front of laptop, holding test tube filled with bubbling blue liquid, perplexed expression, —v 3"
"test (#4/3)","
A low-fidelity image-based meme inspired by the text-based meme “test” could be an image of a dog sitting in front of a laptop, with a test tube filled with bubbling blue liquid in front of it. The dog has a perplexed expression on its face as if it doesn't understand what the text means.","4_2_img-pe4ZnDGLHmjN52LNIt4Qcb8v.png","test","
A low-fidelity image-based meme inspired by the text-based meme “test” could be an image of a dog sitting in front of a laptop, with a test tube filled with bubbling blue liquid in front of it. The dog has a perplexed expression on its face as if it doesn't understand what the text means.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Dog, sitting in front of laptop, holding test tube filled with bubbling blue liquid, perplexed expression, —v 3"
"test (#4/4)","
A low-fidelity image-based meme inspired by the text-based meme “test” could be an image of a dog sitting in front of a laptop, with a test tube filled with bubbling blue liquid in front of it. The dog has a perplexed expression on its face as if it doesn't understand what the text means.","4_3_img-36IFO6ZlAE6c4EKJLPIm46ao.png","test","
A low-fidelity image-based meme inspired by the text-based meme “test” could be an image of a dog sitting in front of a laptop, with a test tube filled with bubbling blue liquid in front of it. The dog has a perplexed expression on its face as if it doesn't understand what the text means.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Dog, sitting in front of laptop, holding test tube filled with bubbling blue liquid, perplexed expression, —v 3"
"ridiculous (#6/1)"," An image of a person wearing a chicken suit while trying to eat a bagel off the top of their head.","6_0_img-niJSXnMI6GEiufJYenuVrW2i.png","ridiculous"," An image of a person wearing a chicken suit while trying to eat a bagel off the top of their head.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Person in chicken suit, attempting to eat a bagel from head, balancing precariously, —v 3"
"ridiculous (#6/2)"," An image of a person wearing a chicken suit while trying to eat a bagel off the top of their head.","6_1_img-vBX5uICTod5xSyI2aGUiJi3j.png","ridiculous"," An image of a person wearing a chicken suit while trying to eat a bagel off the top of their head.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Person in chicken suit, attempting to eat a bagel from head, balancing precariously, —v 3"
"ridiculous (#6/3)"," An image of a person wearing a chicken suit while trying to eat a bagel off the top of their head.","6_2_img-Va9o3l39DAg3ZxEqrMFY0kuB.png","ridiculous"," An image of a person wearing a chicken suit while trying to eat a bagel off the top of their head.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Person in chicken suit, attempting to eat a bagel from head, balancing precariously, —v 3"
"ridiculous (#6/4)"," An image of a person wearing a chicken suit while trying to eat a bagel off the top of their head.","6_3_img-q9ELSYF0y6CRZpWWqYf74XmT.png","ridiculous"," An image of a person wearing a chicken suit while trying to eat a bagel off the top of their head.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Person in chicken suit, attempting to eat a bagel from head, balancing precariously, —v 3"
